,alpha,lambda,kl_divergence,recommendations,time
123,0.47,0.7,1.702672746942214,"[hotel26177, hotel2, hotel14697, hotel23, hotel14, hotel49, hotel9505, hotel11, hotel51, hotel35]",89.18159890174866
124,0.49,0.7,1.702672746942214,"[hotel26177, hotel2, hotel23, hotel14697, hotel14, hotel49, hotel11, hotel51, hotel35, hotel9505]",89.15640902519226
125,0.01,0.75,0.20028756808663262,"[hotel122734, hotel177679, hotel3438, hotel119583, hotel2, hotel26177, hotel14697, hotel14, hotel23, hotel9505]",102.70308709144592
126,0.03,0.75,0.20028756808663262,"[hotel122734, hotel177679, hotel3438, hotel119583, hotel2, hotel26177, hotel14697, hotel14, hotel23, hotel9505]",100.07991671562195
127,0.05,0.75,0.20028756808663262,"[hotel122734, hotel177679, hotel3438, hotel26177, hotel2, hotel14697, hotel14, hotel119583, hotel23, hotel9505]",99.39025688171387
128,0.07,0.75,0.20345878910017304,"[hotel122734, hotel177679, hotel26177, hotel17674, hotel2, hotel14697, hotel14, hotel23, hotel1099, hotel9505]",97.85952758789062
129,0.09,0.75,0.20345878910017304,"[hotel122734, hotel177679, hotel26177, hotel17674, hotel2, hotel14697, hotel14, hotel23, hotel1099, hotel9505]",105.02245426177979
130,0.11,0.75,0.6216295174449722,"[hotel13206, hotel148622, hotel14697, hotel9505, hotel2, hotel26177, hotel14, hotel23, hotel49, hotel1099]",103.6238694190979
131,0.13,0.75,0.6216295174449722,"[hotel13206, hotel148622, hotel14697, hotel9505, hotel2, hotel26177, hotel14, hotel23, hotel49, hotel1099]",102.20775723457336
132,0.15,0.75,0.6216295174449722,"[hotel13206, hotel148622, hotel14697, hotel9505, hotel2, hotel26177, hotel14, hotel23, hotel49, hotel1099]",94.07540273666382
133,0.17,0.75,0.6216295174449722,"[hotel13206, hotel148622, hotel14697, hotel2, hotel9505, hotel26177, hotel23, hotel14, hotel49, hotel1099]",95.84845232963562
134,0.19,0.75,0.7560742158856806,"[hotel13206, hotel148622, hotel14697, hotel2, hotel9505, hotel26177, hotel23, hotel14, hotel49, hotel11]",97.08867311477661
135,0.21,0.75,0.7560742158856806,"[hotel13206, hotel148622, hotel14697, hotel2, hotel9505, hotel26177, hotel23, hotel14, hotel49, hotel11]",102.81912541389465
136,0.23,0.75,0.7560742158856806,"[hotel13206, hotel148622, hotel14697, hotel2, hotel9505, hotel26177, hotel23, hotel14, hotel49, hotel11]",101.97187328338623
137,0.25,0.75,0.7560742158856806,"[hotel13206, hotel148622, hotel14697, hotel2, hotel9505, hotel26177, hotel23, hotel14, hotel49, hotel11]",104.21634721755981
138,0.27,0.75,0.7560742158856806,"[hotel13206, hotel148622, hotel14697, hotel2, hotel9505, hotel26177, hotel23, hotel14, hotel49, hotel11]",95.29898858070374
139,0.29,0.75,0.7560742158856806,"[hotel13206, hotel148622, hotel14697, hotel2, hotel9505, hotel26177, hotel23, hotel14, hotel49, hotel11]",92.05885601043701
140,0.31,0.75,1.015872568727314,"[hotel26177, hotel2, hotel14697, hotel91516, hotel36, hotel23, hotel14, hotel9505, hotel49, hotel11]",98.46265363693237
141,0.33,0.75,1.015872568727314,"[hotel26177, hotel2, hotel14697, hotel91516, hotel36, hotel23, hotel14, hotel49, hotel9505, hotel11]",96.83066844940186
142,0.35,0.75,1.015872568727314,"[hotel26177, hotel2, hotel14697, hotel91516, hotel14, hotel23, hotel36, hotel49, hotel11, hotel9505]",94.35944676399231
143,0.37,0.75,1.015872568727314,"[hotel26177, hotel2, hotel14697, hotel91516, hotel14, hotel23, hotel36, hotel49, hotel11, hotel9505]",95.52395987510681
144,0.39,0.75,1.506957303215703,"[hotel26177, hotel2, hotel14697, hotel14, hotel9505, hotel23, hotel49, hotel36, hotel11, hotel51]",102.29936361312866
145,0.41,0.75,1.702672746942214,"[hotel26177, hotel2, hotel14697, hotel14, hotel9505, hotel23, hotel49, hotel11, hotel51, hotel35]",100.23576641082764
146,0.43,0.75,1.702672746942214,"[hotel26177, hotel2, hotel14697, hotel14, hotel9505, hotel23, hotel49, hotel11, hotel51, hotel35]",94.84666275978088
147,0.45,0.75,1.702672746942214,"[hotel26177, hotel2, hotel14697, hotel14, hotel9505, hotel23, hotel49, hotel11, hotel51, hotel35]",95.34934639930725
148,0.47,0.75,1.702672746942214,"[hotel26177, hotel2, hotel14697, hotel14, hotel23, hotel9505, hotel49, hotel11, hotel51, hotel35]",97.41564631462097
149,0.49,0.75,1.702672746942214,"[hotel26177, hotel2, hotel14697, hotel14, hotel23, hotel9505, hotel49, hotel11, hotel51, hotel35]",98.6680383682251
150,0.01,0.8,0.20028756808663262,"[hotel122734, hotel177679, hotel3438, hotel119583, hotel2, hotel26177, hotel14697, hotel14, hotel9505, hotel23]",109.84094738960266
151,0.03,0.8,0.20028756808663262,"[hotel122734, hotel177679, hotel3438, hotel119583, hotel2, hotel26177, hotel14697, hotel14, hotel9505, hotel23]",112.08522987365723
152,0.05,0.8,0.20028756808663262,"[hotel122734, hotel177679, hotel3438, hotel119583, hotel2, hotel26177, hotel14697, hotel14, hotel9505, hotel23]",109.75812125205994
153,0.07,0.8,0.20345878910017304,"[hotel122734, hotel177679, hotel26177, hotel17674, hotel2, hotel14697, hotel14, hotel1099, hotel9505, hotel23]",110.87298369407654
154,0.09,0.8,0.20345878910017304,"[hotel122734, hotel177679, hotel26177, hotel17674, hotel2, hotel14697, hotel14, hotel1099, hotel23, hotel9505]",110.89519262313843
155,0.11,0.8,0.20345878910017304,"[hotel122734, hotel177679, hotel26177, hotel17674, hotel2, hotel14697, hotel14, hotel1099, hotel23, hotel9505]",110.34433603286743
